link,collected_at,repo_id,repo_name,query,title,tag_matched_keywords,tag_matched_concepts,tag_is_duplicate,tag_duplicate_of,tag_topic_relevance_score,tag_topic_relevance_confidence,include,exclusion_reason
https://repositorio.ufba.br/handle/ri/8788,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Produção de fermentado de umbu (spondias Tuberosa arr. Cam.),[fermentado],[],,,0.2,0.050800000000000005,true,
https://repositorio.ufba.br/handle/ri/17172,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",[],[],,,0,0.021599999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/15802,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Desenvolvimento de sistema de análise por injeção seqüencial para determinação espectrofotométrica da capacidade antioxidante em bebidas empregando o radical derivado do N-fenil-1, 4-fenilenodiamino",[],[],,,0,0.0276,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/17527,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Lesões musculoesqueléticas em traumas por acidente motociclístico atendidos pelo Serviço de Atendimento Móvel de Urgência em Salvador, Bahia",,,true,33,,,false,Duplicate of 33
https://repositorio.ufba.br/handle/ri/1774,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Promovendo o auto-cuidado no controle da hanseníase,[],[],,,0,0.0084,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/29403,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Tabaco: a construção das políticas de controle sobre seu consumo no Brasil,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/33915,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Emprego de polímeros com íons impressos para a pré-concentração e determinação de cádmio e chumbo,[],[],,,0,0.018,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/16677,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,"Alterações hepáticas em trabalhadores de uma refinaria de petróleo e em uma população de referência no Estado da Bahia, Brasil",[],[],,,0,0.024,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/32087,2026-02-11T10:01:46-03:00,BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Efeitos do uso do álcool nos modos de existência de povos  indígenas do Brasil segundo contextos culturais: uma revisão de  literatura.,[],[],,,0,0.0252,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/38611,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Análise da produção de licores entre os anos de 2020 e 2021 no município de Cachoeira-Ba: os efeitos da pandemia de COVID-19 no comércio da bebida durante o período junino,,,true,24,,,false,Duplicate of 24
https://repositorio.ufba.br/handle/ri/36617,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,"Aspectos históricos, nutricionais e gastronômicos do pequi (Caryocar brasiliense camb.)",[],[],,,0,0.012,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/16990,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Produção de molibdênio metálico a partir da molibdenita de Carnaíba (Bahia),[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/25699,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,"Caracterização da rocha fosfática de Angico dos Dias (BA) visando a recuperação de cério, lantânio e neodímio",[],[],,,0,0.0204,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/41096,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Desenvolvimento de queijo de coalho de cabra condimentado com bebidas alcoólicas,[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/37520,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,ESPANHOL COM FINS PROFISSIONAIS/ESPECÍFICOS: O LÉXICO DA ALIMENTAÇÃO PAN-HISPÂNICA E SUA POSSÍVEL APLICAÇÃO DIDÁTICA NAS AULAS DE GASTRONOMIA,[],[],,,0,0.021599999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/24818,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Hyhiéne na mulher em estado de gravidez,[],[],,,0,0.0084,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/25862,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Fractura do radius e seu tratamento,[],[],,,0,0.0072,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/33315,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,A linguagem indígena nas coleções biológicas: do popular ao científico,[],[],,,0,0.012,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/31026,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Amargosa: do arrasta-pé ao axé,[],[],,,0,0.006,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/36716,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,"Aspectos históricos, nutricionais e gastronômicos do licuri e a inovação tecnológica no município de Caldeirão Grande – BA",[],[],,,0,0.021599999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/26103,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Conflitos socioambientais envolvendo projetos de Mecanismo de Desenvolvimento Limpo (MDL) na América Latina,[],[],,,0,0.0156,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/29314,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,"Gastronomia, sexualidade e poder na obra de Eça de Queirós",[],[],,,0,0.012,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/29192,2026-02-11T10:01:48-03:00,BR-FED-0001,Repositório Institucional da UFBA,licor de,Encruzilhada: uma memoria da feira de São Joaquim,[],[],,,0,0.0096,false,Topic relevance score (0.00) below minimum threshold (0.10)
