repo_id,repo_name,query,title,link,collected_at
BR-FED-0001,Repositório Institucional da UFBA,bebida feita de,Efeitos do uso do álcool nos modos de existência de povos  indígenas do Brasil segundo contextos culturais: uma revisão de  literatura.,https://repositorio.ufba.br/handle/ri/32087,2026-02-11T10:01:46-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Análise da produção de licores entre os anos de 2020 e 2021 no município de Cachoeira-Ba: os efeitos da pandemia de COVID-19 no comércio da bebida durante o período junino,https://repositorio.ufba.br/handle/ri/38611,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,"Aspectos históricos, nutricionais e gastronômicos do pequi (Caryocar brasiliense camb.)",https://repositorio.ufba.br/handle/ri/36617,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Produção de molibdênio metálico a partir da molibdenita de Carnaíba (Bahia),https://repositorio.ufba.br/handle/ri/16990,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,"Caracterização da rocha fosfática de Angico dos Dias (BA) visando a recuperação de cério, lantânio e neodímio",https://repositorio.ufba.br/handle/ri/25699,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Desenvolvimento de queijo de coalho de cabra condimentado com bebidas alcoólicas,https://repositorio.ufba.br/handle/ri/41096,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,ESPANHOL COM FINS PROFISSIONAIS/ESPECÍFICOS: O LÉXICO DA ALIMENTAÇÃO PAN-HISPÂNICA E SUA POSSÍVEL APLICAÇÃO DIDÁTICA NAS AULAS DE GASTRONOMIA,https://repositorio.ufba.br/handle/ri/37520,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Hyhiéne na mulher em estado de gravidez,https://repositorio.ufba.br/handle/ri/24818,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Fractura do radius e seu tratamento,https://repositorio.ufba.br/handle/ri/25862,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,A linguagem indígena nas coleções biológicas: do popular ao científico,https://repositorio.ufba.br/handle/ri/33315,2026-02-11T10:01:48-03:00
BR-FED-0001,Repositório Institucional da UFBA,licor de,Amargosa: do arrasta-pé ao axé,https://repositorio.ufba.br/handle/ri/31026,2026-02-11T10:01:48-03:00
